test_example_id,story,predicted_gender
76,לפני כמה חודשים  טסתי לאוקראינה באותו יקור הגעתי לחצי האי קרים  מלבד שהיה קצת משעמם הקורונה הייתה שיאה  קרה עוד משהו צפוי שם  חצי האי קרים ישנם עימותים תמידיים כוחות אוקראינים לכוחות רוסיים  תוסיפו מגבלות הקורונה  יצא מצב שהיה פשוט סגר מקום  הייתה שום דרך לחזור חזרה  נתקעתי שם  טיול שהיה אמור להמשך כמה ימים נגרר לחודש חצי  אחרי המון שיחות שלל גורמים  יניהם גורמים מדיניים  נמצא פתרון יצירתי  שבו יוכלו לחלץ אותי  הדרך הבטוחה יותר לצאת משם הייתה אמצעות אמבולנס  אמבולנס הצלב האדום הסיע אותי מחוץ לאזור שהייתי הכניס אותי ישירות לשדה התעופה  סימפרופול   שבו מקרה עליתי טיסה לרומניה  רומניה  לצערי הרב  הייתה הקורונה שיאה ממש היו טיסות יוצאות  לכן החלטתי לטייל קצת רומניה  רומניה  ישנם כמה מקומות מעניינים שלא יצא לבקר עדיין  כמובן שהתחלתי ביקור עירוני בוקרשט  טיילתי קצת רחבי העיר העתיקה  המון אלכוג ל מסיכות תיק  חייב לציין שהייתה חוויה מאוד מעניינת  לאחר מכן  לקחתי סיור ההרים  מסתבר שתיירות פנים הייתה מותרת עדיין  הרים ראיתי נופים יפים  שתיתי משקאות אקזוטיים אכלתי מאכלים מקומיים  אין ץ רבה    מסגרת עבודתי חברת הייטק לאומית  פגשתי כמה עמיתים מהעבודה  טיילנו קצת ג יפים הרים  חייב לציין שהיה טיול שטח טכני  אבל טויוטה כמו טויוה  עברה מקום  משלבים הילוך כוח  נועלים דיפרנציאל מרכזי  יאללה לטיול  חבל שלא היה נעילת דיפרנציאל אחורי  ככה הטיפוסים היו מהנים יותר  הדבר הכי טוב שקרה טיול הוא שהכרתי חברתי הנוכחית  יוליה  יוליה אזרחית ישראלית שגם נתקעה אירופה  תוך כדי למידת רפואת שיניים  צירפתי יוליה לג יף שלי היה לנו טיול מהסרטים  הקשר המשכנו ישראל  כיום אנחנו זוג  לאחר החוויות הרבות רומניה  הגיע הזמן לתלות המפתחות הטויוטה  לשוב ארצה למשפחה  הצלחתי לתפוס טיסה הרגע האחרון  טיסת אל על לישראל  שלום היישר לבידוד ,m
77,תקופת הקורונה תחילת החיסונים נגד קורונה  אחותי נדבקה מחלה מחבר שלה שנדבק עבודה הכניסה ילדי הגן שבו היא עובדת לבידוד  עקבות המשפחה שלי עשינו דיקות קורונה כאשר אחד מבני המשפחה היה מחוסן מנה ראשונה חיסון נגד קורונה  אחותי הייתה בידוד חדר לבד בעזרת אמבולנס עברה להמשיך הבידוד אצל חבר שלה שגם הוא חולה לכן היה עדיף שתהיה איתו  אני בני משפחתי קיבלנו תשובה שלילית לקורונה לכן היינו בידוד ימים לאחר שתי דיקות קורונה שליליות ,m
78,התקרית קרתה לפני כמה חודשים שמעתי רעשים מוזרים מהמרפסת  דיוק התארגנתי ללכת לישון סידרתי דברים ליום המחרת  התחלה ייחסתי להם חשיבות המשכתי כרגיל  כאשר התחזקו החלטתי ללכת למרפסת לברר מקור הרעש  עמדתי מחוץ לכניסה המרפסת תוך יתי מנסה להבחין גורם הרעש המוזר  התחלה הבחנתי משהו חשוד באתי לחזור לעיסוקיי  אור קטנטן לבן לכד עיניי רגע לפני שעזבתי כניסת המרפסת  אור מוכר  היה מאוד חשוך שיכולתי להבחין אור יתר קלות  האור התחלה עמד מקום כעבור מספר שניות החל לזוז תנועות קטנות חדות  דבר שעורר החשד שאדם חדר לתוך המרפסת נמצא תוך השטח הפרטי שלי  קור רוח הצטיידתי נשק שיהווה עבורי הגנה מקרה תקיפה מצד אותו פורץ  במקביל התקשרתי למוקד המשטרה עדכנתי אותם המצב שאני נמצא אותו הזמן שעבר הגעת המשטרה התחבאתי מאחורי הכורסא שנמצאת סלון הייתי קשר עין ישיר רציף אותו אור דלוק מרפסת  מהלך אותן דקות האור לפתע נכבה  שמעתי עדיין רעשים קלים שהגיעו מאזור המרפסת החשוכה  מהלך אותו זמן הייתי קשר ישיר המשטרה סיפרתי להם דיוק אני רואה אני שומע תיארתי להם המתרחש למול עיניי אוזניי  לאחר כמה דקות מתוחות נשמעו אצלי דפיקות דלת  שעה טובה הגיעו השוטרים  השוטרים התחלקו צוותים  צוות שהגיע אליי הבייתה צוות נוסף שנשאר למטה לאבטח הבניין למקרה שהפורץ ירצה לברוח לחמוק מהבניין דרך המרפסות  הגיעו השוטרים הרגשתי הקלה רבה  שכן כרגע אני הבנאדם היחיד בית גיבוי מצידה המשטרה  השוטרים התקדמו לעבר המרפסת צעדו לתוכה  לאחר כמובן שהדליקו האור  להפתעתם תוך המרפסת היה זכר לאף אדם זר  ראיתי שהם מסתכלים עליי המרפסת פליאה  מנסים להבין למה קראתי להם  לפתע משום מקום מתוך מכשירי הקשר שלהם נשמע קול  הכוחות שטח  נתפס אדם שירד דרך המרפסות בניין המתלונן  עצרנו אותו לשם הזדהות כרגע הוא נמצא ידינו  שמחתי מאוד לשמוע הבשורות הטובות העובדה שהפורץ נתפס  הודיתי נורא לשוטרים שפעלו נחישות במסירות ידעתי שכעת אוכל לישון בטחה בנחת שכן הפורץ נעצר  מהלך התקופה שאחרי הגעתי לבתי המשפט לתת עדות לקחתי חלק פעיל תביעה  שלבסוף נגזר אותו פורץ תקופת מאסר שנים  הסיפור הסתיים למזלי למזל השכנים האחרים בניין סוף טוב שיכל להסתיים אחרת לגמרי  הנני מודה שלא נגרם שום נזק לרכוש לעצמי  נוסף מאז אני מעביר מסרים לאנשים להיות תמיד ערים לסביבה שלהם מרחב האישי הציבורי להיות שאננים  כדי למנוע המקרה הבא ,m
79,כחודש לפני הבחירות האחרונות לכנסת  צוות פרויקט מפלגת הליכוד ראשות ראש הממשלה יקש ממקום העבודה שלי לממש לטובתם פרויקט רחב מאוד לטובת יום הבחירות  הלקוח רצה שנבנה שני אפליקציות שישמשו המפלגה יום חירות על מנת שיידעו מצב הבחירות הערכה גסה זמן אמת  כחלק מהפרויקט בעקבות חוסר הזמן גלל הדד ליין הצפוף  התבקשתי לבנות אופן מהיר מאוד המוצר  כתוצאה מכך פסחנו הרבה מאוד שלבים תהליך הפיתוח  יום הבחירות  שהיה יום ההולדת הזוג שלי הודעתי מראש שאוכל לעבוד לשעה מסוימת כדי שאוכל להיות יום הולדתה זוגתי  תחילת יום הבחירות האפליקציה חוותה קשיים עליהם התגברתי עצמי  כאשר רציתי ללכת שעה שנקבעה מראש יקשנו ממני להישאר  כאשר הסברתי שלא אוכל להישאר  יקשו ממני מספר הטלפון הזוג שלי שצלצל אליה היה ראש הממשלה שביקש ממנה לאפשר להישאר עבודה  הזוג שלי אמרה לראש הממשלה טלפון שקיימת עיה מכיוון שקבענו תכניות לאותו ערב מספר גדול אנשים אני צריך להיות שם ,m
80,היה יום רביעי שגרתי אמצע שבוע קבענו כמה חברים לשחק כדורגל  ההתארגנות החלה משעות הבוקר לקראת שעות הצהריים לאחר שכמה חברה יטלו  קיום המשחק התערער  מיני אנשים ניסו לארגן חברים ממקורות כלשהם שנחזור להיות חברה  אני עצמי ממש שעה לפני השעה המתכוננת הצלחתי לארגן חברים המשחק  ניצל  אכן המשחק יצא לפועל  אחרי ערך שעה משחק  יצעתי תנועת סיבוב חדה  מעתי קליק חזק מכיוון הברך  נפלתי הרצפה הרגשתי כאבי דקירה חדים חזקים  ידעתי מזה  אבל הרגשתי כאב חזק  אבל משהו שלא חוויתי עבר  יצאתי מהמגרש לכמה דקות חוץ אחרי משחק אחד שלם חוץ אתי לחזור לשחק כמו תמיד כמו מישהו שנפצע כרגע יודע ממש היה חשבתי שזה חפיף  לאחר מכן הלכתי לבית החולים לצילום תוצאתו הניבה דבר הכל סדר רגל  הכאבים פסקו ישר הבנתי שזה כנראה משהו קצת יותר מסובך משבר מתיחת שריר כזו אחרת  לאחר כמה ימים כמה קשרים הצלחתי להשיג צילום mri מבית החולים  לאחר כמה ימים נוספים הגיע ניתוח הצילום איתו הבשורה הקשה קרע מלא רצועה הצולבת  שמכיר יודע פציעה כזו היא יחסית נפוצה אבל היא גוררת ניתוח שחזור קשה מסובך לאחר מכן שמעט שנה שלמה שיקום פיזיותרפיה  שבמהלכם כמובן אפשר לשחק כדורגל כלל  יותר מדי אסה ישר התחלתי לחקור לחפש הרופאים המנתחים המומלצים ארץ  תוך יום כבר קבעתי פגישת ייעוץ משרד אחד הרופאים המובילים מדינה  הגעתי לשם הרופא הצילומים הברך לאחר התייעצות נקבע ניתוח לכמה ימים אחרי  הגיע יום הניתוח הניתוח עבר הצלחה מישם התחיל תהליך השיקום הסיזיפי למשך חודשים  סוף אותם חודשים קשים אין ספור שעות פיזיותרפיה עבודה חדר הכושר  החלום הושג מחדש חזרתי לשחק כדורגל  לאט לאט הבטחון חזר לרגל ככה חזרה יכולת המשחק  היה קל  מפחיד עצם היום הזה  אבל סופו יום התהליך הזה אותי פיזית מנטלית רמה הגבוהה יותר ,m
81,אחת תקופות המבחנים שהיו השנה קראתי נכון התאריך החלפתי היום לחודש כלומר המבחן היה שלישי לפברואר קראתי למרץ התכוננתי ממש חזק למבחן אפשר לומר שחרשתי הזמן הזה יושב ראש תאריך נכון המבחן יום המבחן הבנתי שבילבלתי התאריכים פספסתי המועד האמיתי,m
82,שני חברים הכי טובים  אנחנו עצם שלוש חברים מאוד קרובים שעושים הכול יחד  לפני כבערך חצי שנה החלטנו אני אחד החברים לעשות הפתעה ליום הולדת עשרים לוש לחברה השלישית לחגוג טיול לאילת  סגרנו שני לילות מלון  דיברנו הממונים עליה עבודה לגבי ימי חופש שהיא תדע  כולנו עובדים יחד לכן היה פשוט לארגן הכול   כמובן שגם דיברנו ההורים שלה וידאנו איתם שאין להם תכניות סגורות סדר  נגנוב  אותה ליום ההולדת  לאחר שסיפרנו ההפתעה למספר חברים שלנו  החליטו שגם רוצים להצטרף  החלטנו שאם נסע הרבה אנשים צריך לסגור מקום גדול יחד  כדי שנוכל לחגוג יחד  לארגן מסיבת הפתעה  יטלנו המלון  חיפשנו ילה שתכיל מספיק אנשים זה היה פשוט מכיוון שהכול היה התראה יחסית קצרה   אחרי הרבה מאמצים מצאנו ילה שתהיה מעולה ל12 אנשים  רצינו להביא dj  אוכל טעים עמדות שתייה  חילקנו משימות נינו  אני החבר הטוב  התחלנו לעבוד  לקח לנו מספר ימים למצוא dj מסתבר שזה ממש יקר  השאר היה יחסית פשוט  כמה ימים דדים לפני יום ההולדת שלה  התנהגנו כאילו אנחנו זוכרים תכננו שום דבר מיוחד  היא שאלה נעשה יום ההולדת שלה אמרנו  לא יודעים  דברים כמו  מה הלחץ מלא זמן  אחרי שהיינו נחמדים לגבי היא החליטה לשמור לנו יום ההולדת שלה קבעה הזוג שלה צימר צפון לכבוד יום ההולדת לי לספר לנו  כמובן שאם היינו יודעים היינו עוצרים אותה   הבת זוג הזאת היום היא כבר זוג לשעבר  היא יצאנו אותה תקופה חודשים דדים לכן היינו קשר אתה חשבנו לדבר אתה ידענו שהקשר יציב כנראה ייקבעו תכניות יחד  יום לפני הנסיעה לאילת סיפרנו שיש לנו הפתעה תארוז מזוודה  מחר היא תגלה ההפתעה  לאחר שאמרנו היא אמרה שהיא אמת נוסעת מחר הבת זוג לצימר  לכן היא יכולה לנסוע אתנו  אחרי המון יכוחים  יצא שהלכנו לחגוג יום הולדת אנשים  אבל לעדיה ,m
83,שבוע שעבר קבענו חברים לעשות טחול אופניים יער שמן  כמעט יטלנו גלל מזג האוויר הקריר שהיה אותו יום אבל סוף החלטנו זאת לצאת  חוץ מחבר אחד לאף אחד היה אופניים לכן היינו צריכים להשכיר אופניים שמה  פעם הראשונה שעלינו האופניים היה מוזר רכבנו אופניים כמעט שנים  חבר שלי נפל מהאופניים אחרי כמעט חמש דקות רכיבה היה מצחיק מזל שלא נשבר כלום עוד היו כונסים אותנו  אופן הטיול התחלנו אזור המיוער יער שמן ממש פנים הכל מסביב היה עצים הדרך הייתה חצי סלעית ככל שהתקדמנו יצאנו מהיער השביל היה יותר חולי קצת תלול  הנוף שהשתקף הוא אזורים גדולים פתוחים היה רוח ממש קרירה אבל גלל שהתאמצנו פחות הרגשנו  המשך הדרך היו עליות תלולות קושי הצלחנו לפדל  היה ממש קשה הזענו כמו חמורים שם  חשוב להדגיש שאנחנו ממש כושר יכול להיות שזה היה קשה  אחרי כמה דקות מיגעות הגענו לפסגה עשינו עצירה ראינו נוף מדהים שמשקיף היער העצום  שתינו מים המשכנו דרך  אחרי שעלינו העלייה המטורפת הייתה ירידה ממש מפחידה נסענו ממש זהירות שלא נתגלגל הדרך למטה  המשך היה דרך ממש עיתית רוב השביל היה חול היה קשה ממש לפדל אחרי כמה דקות ראינו מתחת לעצים ספסל לחן החלטנו לעצור הוציא הפק ל קפה  הבאתי רמקול קטן ישבנו שמה לפחות חצי שעה שתינו קפה מענו מוזיקה  הרגשנו כבר שמתחיל להיות קריר מתחיל להיות כבר מאוחר החלטנו לקפל לסיים המסלול  אחרי דקות נסיעה עברנו דרך נחל שעבר אבל נסענו מהר היה מלא דבורים  סופו דבר הגענו לסוף המסלול היינו מותשים אבל היה ממש כיף  החזרנו האופניים שהשכרנו נסענו הביתה  למחרת אני קמתי תפוס כולי חברים שלי מסתבר היו תפוסים יכולנו ללכת למזלי למחרת עבדתי לכן יכולתי לנוח שהשרירים ישתחררו לי  אני חברים שלי החלטנו לאמץ זה  היה חוויה ממש טובה אבל ספורט טוב  אנחנו קצת דור טלפונים לצאת לאוויר הפתוח להתנתק מהטלפונים עושה ממש טוב ,m
84,בוקר יום הכיפורים יצאתי האופניים מכיוון שכונת נווה שרת לרמת אביב מטרה להיפגש דודי שמאוד אהבתי לשחק איתו  היה יום חם  הייתי אותו גדלתי כאדם שומר מסורת טרם התחלתי לצום  קמתי בוקר כהרגלי צחצחתי שיניים אכלתי משהו התחלתי להתארגן ליציאה  ארגנתי התיק מים בקבוק נוסף שאותו אפשר לתלות האופניים משאבת אוויר  דקתי שהאופניים תקיינות כלומר  שאין חורים גלגלים  שמחתי שבכל מוכן יצאתי לדרך  השביל הקבוע הרגיל היה כעת ככביש  כילד תמיד רציתי להיות גדול לכן הייתה הזדמנות לחוות דרכי הגדולים נהיגה כביש  כזכור יום הכיפורים אין מכונית הכביש  הגעתי לצומת הראשונה הנה הרמזור תחלף לאדום  עצרתי מיד הרי אסור לנסוע אדום זכרתי  ילדים מסביב נסעו כאילו היה רמזור  הרי אין חייבים לשמוע לחוקי התחבורה כיוון שאין עלי רכב ממנוע אפילו אינם יודעים שהם קיימים  התחלף הרמזור לירוק שמחתי הייתי סבלני עכשיו הזכור להמשיך רכיבה  אבל לפתע הגיעו שיירה ענקית אופניים  חשבתי לעצמי הרי הירוק שלי התנגשתי אחד המשכתי רכיבה בכל צומת מרומזרת צייתי הייטב לצבעי הרמזור  הגעתי לכביש צהלה נזכרתי שזו הדרך הגרוע יותר עליה מאוד חדה הגורמת לראיות לעבוד צורה משמעותית  אבל כילד הייתי מאוד כושר עליה התגברתי קלות  המשכתי נסיעה תוך כדי המחשבה שאגיע לרמת אביב לאוכל להיות דודי שאליו התגעגעתי כמובן לשחק  הרי יום חופש הגעתי לנאות אפקה  למזלי ראיתי שניים מחבריי שגם היו דרכם לכיוון הלונה פארק  הייתה צומת דרכים טובה מאוד לנוח לשבת איתם להחליף חוויות  לאחר שיחה ממושכת כחצי שעה  שבו תואר מטרתו אחד רכיבה ליעד המשכתי דרכי  לאחר דקות נסיעה היעד נראה מולי  רמת אביב  הנסיעה לרמת אביב מאוד מהנה  לאחר שעוברים גשר איילון רחוב קקל מכיוון מזרח למערב הופך להיות ירידה תלולה  הנסיעה כביש מאוד מהנה קררת יבשה הזיעה מגופי  לאורך הסיעה חשבתי כמה כיף יהיה הנה עוד מעט אגיע אראה דודי נשחק יהיה כיף  הגעתי לרחוב הוא עליתי לקומה דפקתי דלת פתחה דודתי כעס צעקות  היא אמרה  מדוע אתה מחלל חג  מדוע אינך בית  הרי אנו צמים  אנו דתי  חזור מיד הבייתה   הסגרה הדלת הבנתי שאיני רצוי אני מחלל יום קדוש זה  חזרתי הבייתה בושת פנים מעולם נסעתי שוב יום כיפורים  שנה לאחר מכן התחלתי לצום לשמור החג ,m
85,מכירים הביטוי ״תשבור רגל״ שאמור להביא מזל  כנראה שמישהו ממש התכוון איחל זה  אני מבין איפה המזל פה  לפני כמה חודשים  רגיל לחלוטין  התעוררתי חיוך פניי  התארגנתי כבכל יום יצאתי לעבודה ידיעה שאחר הצהריים קבענו מספר חברים להיפגש לשחק כדורגל כמדי שבוע  כבכל שבוע  החלפתי גדים אחרי העבודה  נסעתי למגרש הקבוע  התחלקנו לקבוצות אחרי כמה צעקות  גם קבועות  שהכוחות שווים לעשות  אנחנו חבר ה התחלנו לשחק  השבוע היה שונה  משהו התפקשש  כנראה הגשם שירד יומיים קודם יצר רות מגרש  אחד מבורות אלו  רגלי יצרה חיבור מיוחד  חיבור חברי שכזה  שברגע שהם נפגשו  רצו להפרד  שגרם למעוד  לאחר נסיון להחזיק עצמי הרגליים  ליפול המגרש צורה מגושמת שגרמה לחברי שעשוע רב  רגלי השתפשפה החלה לכאוב עזות  שניים מחברי עזרו לקום הושיבו ספסל ליד  לאחר כעשרים דקות הכאב התגבר הצלחתי לעמוד רגלי  לאחר התייעצות אשתי  הוחלט שעלי לסור לבית החולים  אשתי הציעה להתלוות אליי  סירבתי נימוס מכיון שהעדפתי שאחד מחבריי יסיע אותי היא תישאר בית ילדינו הקט  הגעתינו לבית החולים  לאחר המתנה חצי מיון  שהיה עמוס מהרגיל  הכניסו אותי לרופא שלאחר תשאול קצר הפנה אותי לצילום שאישר אופן משמעי אינו משתמע לשתי פנים שבר  לאחר המתנה עוד חצי  הגיע איש צוות נוסף עטף  רגלי שכבה אדיבה פדים טבולים גבס  לאחר ילוי כולל שעות מיון  יצאתי הביתה רגל עטופה גבס קביים שחברי  רוב נחמדותו שכר ם״יד שרה״ זמן ההמתנה הארוכה  דרכנו הביתה התמלאתי תהיות כיצד אתנהל עכשיו  ״לפחות שבועות״ לדברי הרופא  הרגל השבורה  ייחוד העובדה שאני קומה רביעית ללא מעלית  אשתי חשבה עוד לפני  בזמן שעוד הייתי מיון  דיברה הוריה שגרים בניין מעלית כמובן הציעו לנו לעבור אליהם שיעבור  לאחר כמה ימים הכאב שקט אני התרגלתי להתנהל קביים  החלטנו לחזור לדירתנו אין כמו בית  ביקורת הרופא לאחר שבועות נגלה העצם שלי התאחתה ניתן להוריד הגבס לחזור לשגרת חיי  משחקי הכדורגל  אגב  חזרו לאחר עוד עיים ממשיכים עצם היום הזה ,m
86,אני הוא הגנן ככה  משעברתי לגור בית פרטי אני אחראי להשקות הגינה    עבר התייחסתי לזה כמטלה להשקות לגמור זה  אבל שנה האחרונה ממש נכנסתי לזה  גלל שאני הרבה בית גלל הקורונה הייתי יושב גינה שותה הקפה בוקר    רציתי גינה יפה יותר  גינה מטופחת יותר  לכן  התחלתי ללמוד אינטרנט דברים כמו כמה צריך להשקות  קראתי שבשביל להגדיל היבול צריך לתת קומפוסט לעצים  קניתי זה  משנים עברו זכרתי שעל העלים היו כנמות קניתי חומרים כנגד זה  קניתי מלכודות נגד זבובי הפירות  כבר עכשיו אני רואה תוצאות שטח  העצים נראים הרבה יותר טוב אני מצפה לאפרסקים טובים יותר משנים קודמות  תבלינים ירקות התחלתי לגדל  ללא ספק הבדל טעם תבלינים טריים ללא  באשר לירקות  הכמות שיוצאת מאוד קטנה אפשר לסמוך זה  ירקות הרבה יותר עיתיים לגידול כמות מספקת  אבל נחמד לאכול מידי פעם ירקות שגדלו גינה אבל האמת שפשוט עדיף לקנות  הקל גינה  לפעמים צריך לעבוד קשה  ימי שישי בוקר המשאית פינוי גזם  לכן חמישי יום הניקיונות הגינה  אני צריך לנקש עשבים  לחתוך ענפים טובים  אם גבוהים מידי  צמחו למקום שאני מעוניין כמו לשכנים למעבר  סתם שביל לדלל העץ  מזמן החלטתי לעקור גינה  פעם ראשונה שהחלטתי דבר כזה  קראו לעץ יסטריה  היה שמאוד מלכלך גודל מאוד אלים  הכוונה אלים הוא שהוא היה מטפס עצים אחרים גינה היה חוסם להם השמש מתלפף סביבם חונק אותם  כבר תקופה שלא הבאתי מים לפני שעקרתי אותו הבנתי איך הוא עדיין צומח צורה כלכך גדולה  לקחתי חפירה התחלתי לחפור מסביבו הופתעתי לראות שיש שורשים מאוד עבים  התחלתי להוציא עוד עוד חול כבר מצאתי עצמי חופר עומק מטר גינה  האדמה נהייתה מאוד קשה יכולתי עוד לחפור    הבעיה הייתה שהשורשים המשיכו עוד עוד אדמה  החלטתי לקחת מסור חשמלי ניסרתי השורשים  תקווה שהעץ יתאושש יחזור לחיים  חלק מהשורשים שלא הלכו לבטן האדמה נפרסו לצדדים משכתי אותם גיליתי שהם עצם התלפפו סביב עצים אחרים גינה מנעו מהם מים גדילה  אמת הבנתי למה העצים האלו שבגינה שלי התפתחו הסתבר שזה גלל העץ יסטריה הזה שעקרתי  נכון פריחה מאוד יפה  הוא עושה אחלה צל  אבל ממש שמחתי שהורדתי אותו גלל שהוא מנע התפתחות שאר העצים שמסביבו  מקומות שתלתי גפן  ייקח זמן שהוא יביא פרי אבל ככה הגינה שלי יכולה לחיות היום הרמוניה ,m
87,הורי חוגגים יומולדת הפרש שבועיים לפני שנים דיוק  לרגל יום הולדת ה 70 שלהם  התאספנו כולנו הורי לושת ילדיהם הזוג שלנו המון נכדים יצאנו למעיין טיול שורשים אחורה זמן  יום שבת  שלוש מכוניות נוסעות אחר שיירה  נסענו לדירה האחרונה שבה גרו  משם לזו שלפניה הלאה  המון זכרונות חוויות מקום  אתם ודאי מתארים לעצמכם  הבית האחרון שהגענו אליו  הוא הבית הראשון גרו הורי עלו ארצה נמצא יבנאל ליד טבריה  גדלתי אני התרנגולות גיל שש  הגענו  אמרה אמא שלי שהיא מזהה הבית אבא שלי טען שזה זה  הבית שבו גרנו הוא הבית האחר בכלל הכל השתנה כאן ארבעים שנה שהם היו סביבה  זכרונות החלו לצוף הפרה גילה הסוסה איתנה המסתננים לילות שחצו הגבול מסוריה באו לגנוב פרות עיזים התרנגולות שחיו חצר    עמדנו ליד הבית יחזרנו סיפורים לטובת הזוג הנכדים אז  יוצאת אשה מבוגרת מהבית תוהה אנחנו אנחנו עושים אבא שלי הציג עצמו סיפר שכאן גרנו לפני שנים היא שלוות נפש עונה חיוך  אני יודעת אני מכירה אותך יותר מזה  היא מוסיפה מספרת להורי ``אני יודעת אתם יודעים  אבל שכחתם כאן מזוודה עזבתם הבית`` אמרה נבלעה חזרה לתוך הבית    הורי הביטו האחד שני המומים מהחדשה המפתיעה כולנו דרוכים מחכים שהאשה הזקנה שבה מתוך הבית בידה היא אוחזת מזוודה ישנה אבא שלי חיוך נבוך אומר לאימי הרי המזוודה שעליתי איתה ארצה  ודאי ספרים עמדנו כולנו נפעמים החמולה חצר הבית הישן מחכים לראות קורה אבי פותח המזוודה הוא מוצא שתי קופסאות ארוזות שתי מתנות יום הולדת האחת לאמא האחת לאבא מתנות לרגל חגיגת השיבעים שלהם לכל אחת מצורפת רכה מסוגננת מכל המשפחה הגדולה אחרון הנכדים טוב  המבצע הזה תוכנן קפידה המזוודה הישנה מצאתי מחסן אצל אחותי הדיירים שבמקום  אנשים פשוטים טובים שהיו דתיים שומרי שבת הסכימו לשתף איתי פעולה יקרתי מקום  הצילום החיפושית  צילמתי אמנם מקום אחר אבל הוא מאוד התאים לסיפור ,f
88,הייתי ילד ערך הגעתי לגיל אני משפחתי נהגנו לנסוע לטיול חגים פסח סוכות צפון מידי שנה אחד הזכרונות האוהבים עליי כילד פעם היינו נוסעים חברות משפחות גדולה  שכולנו חברים ממקום מסויים לפעמים אלו היו חברי ילדות אבי  לפעמים משפחות מקבוצת הכדורגל אחי לפעמים דודים שלי אחת הפעמים שנסענו לצפון משפחות מהקבוצת כדורגל אחי הגדול  השכרנו מיני תים אחד הקיבוצים אזור היה מדשאה גדולה מגרשי כדורגל הלכנו הילדים מידי יום לשחק כדורגל  אחת הפעמים היה לידנו כלב מסוג זאב הכלב היה קשור  החבל שבו היה קשור היה ארוך מאוד אחת הפעמים ששיחקנו הכדור לכיוונו עקבות רצתי לכיוון להביא אותו אותו זמן הייתי מודע לכך  שהחבל שקושר הכלב אמת ארוך כאשר הגעתי לכדור הכלב התחיל לרוץ אליי מהירות רבה  קלטתי התחלתי לברוח  תוך כדי שברחתי הכלב הצליח להגיע אליי הקצה החבל שלו לנשוך אותי אני חושב שזה אחד הזכרונות שהכי חקוקים ראש לאחר הנשיכה מידי הכלב  החלפנו פרטים הבעלים הכלב  הייתי נורא לחץ הייתי ילד קטן  אזור גילאי 12 11 אני עדיין זוכר בירור הלחץ אבי אימי הבלאגן שהיה מסביב לאירוע הזה ניתן לומר שמלבד האירוע הנשיכה שחקוק ראש  שאר הטיול היה מדהים  פעם הייתי  משתוקק מחדש יגיעו החגים נסע למקום אחר ארץ  אפשר לומר שבהסתכלות אחורה הטיולים האלו הזכרונות הכי כיפים שלי תור ילד  זאת היום אני רואה כלבי זאב הרתעה מסוימת  איזשהו פחד ילתי מוסבר  למרות שעברו המון שנים מאותו מקרה השנים גיליתי שאני פשוט אוהב כלבים עקבות אותו מקרה  דבר שבאמת מפריע אני נוטה להאמין שבעתיד הרחוק  עקבות אותו זיכרון ארצה לגדל עצמי כלב  מנת ליצור איזשהי תיקון חוויה,m
89,החוויה שאספר עליה היא געש אני זכיתי לראות געש פעיל חיי הלבה שמתפרצת ממנו אפילו צילמתי כמה תמונות רעות  אחרי הצבא אני עוד חברים החלטנו לנסוע למרכז אמריקה  טיול אחרי הצבא  אחרי שטיילנו מקסיקו קובה הגענו לגואטמאלה  גואטמאלה ידועה שנמצא אצלה געש פעיל רחוק מהעיירה אנטיגואה אקטננגו  מתוך ה 6 חברים החליטו לצאת להר געש אני תוכם  ההליכה היא קלה לוקחת אזור ה 6 שעות חברים שנפצעו צבא העדיפו להישאר מאחור לנוח  כמובן שאי אפשר סתם ככה ללכת להר געש פעיל גלל שזה מסוכן לכן עושים מסע שבו עולים להר גבוה גובה 4000 מטר מעל פני הים ההר הזה נותן לנו נוף מצוין להר געש הפעיל  ההר שמטפסים אליו נמצא קילומטר מהר הגעש אני יודע שזה נשמע רחוק אבל חייבים מרחק טיחות מהלבה עדיין רואים אופן מדהים הגעש הלבה כאילו כמה עשרות מטרים מאיתנו תנאים שתנאי הראות טובים אותו הלילה   לפני היציאה למסע הצטיידנו כמה שיותר ציוד ההר הוא גבוה הטמפרטורות מאוד נמוכות  היה לנו פשוט למצוא ציוד גלל שנסענו לטיול חופים עיקר מצוידים גדי כפכפים בהחלט מוכנים להליכה שעות לקור שעמד להיות אבל זאת היינו נחושים לראות געש פעיל לחוות החוויה הזאת זאת יום אתה מגיע לגואטמאלה אנחנו כבר חייבים לנצל ללכת לראות אקטננגו  הצלחנו ללקט גדים חמים שקנינו הלוונו מחברים שהכרנו גואטמאלה יצאנו לדרך  המדריך שלנו היה חור חביב שהראה הסביר המון דברים דרך עלינו מלוכדים כקבוצה כדי שלא נאבד ניפצע  אחרי שהגענו לפסגה התמקמנו אוהלים בישלנו פסטה לארוחת הערב  הפסטה הייתה טעימה אבל גלל הקור האימתני שהיה מעלה ההר המנה התקררה רגע  אבל משנה כמה היה כמה ההליכה הייתה קשה הכל היה שווה זה  הנוף ממעלה ההר היה פשוט מדהים בהחלט הנוף היפה שראיתי חיי בנוסף זכינו לראות הגעש מתפרץ משך הלילה  דבר מובן מאליו קלות יכל להיות ערפל משך הלילה היינו רואים כלום החלט הרווחנו מהמזל חווינו חוויה פעם חיים ,m
